rds_index,hourbin,ewt,count,daybin,date,rbt,speed
BX39_2_0,0,1.79,5827,1,10-30-2015,88.69,6.755
BX39_0_0,1,1.85,1033,1,10-30-2015,null,null
BX39_0_0,2,1.66,1228,1,10-30-2015,null,null
BX39_0_0,3,3.01,587,1,10-30-2015,null,null
BX39_0_0,4,1.38,401,1,10-30-2015,null,null
BX39_1_0,1,1.01,760,1,10-30-2015,null,null
BX39_1_0,2,1.85,1008,1,10-30-2015,null,null
BX39_1_0,3,2.71,512,1,10-30-2015,null,null
BX39_1_0,4,1.12,298,1,10-30-2015,null,null
BX39_2_0,1,1.47,1793,1,10-30-2015,null,null
BX39_2_0,2,1.74,2236,1,10-30-2015,null,null
BX39_2_0,3,2.87,1099,1,10-30-2015,null,null
BX39_2_0,4,1.26,699,1,10-30-2015,null,null
BX39_0_0,0,1.87,2322,2,10-31-2015,69.1,7.3225
BX39_1_0,0,1.71,2248,2,10-31-2015,74.87,6.4675
